Country Name,Country Code,Series Name,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Agriculture value added per worker (constant 2010 US$),687.4031021,617.6519535,708.8983281,687.8849525,667.4760272,636.4271641
Afghanistan,AFG,Employment in agriculture (% of total employment),..,..,..,..,..,..
Albania,ALB,Agriculture value added per worker (constant 2010 US$),3487.925916,3684.409064,3915.241633,3980.859777,4111.683471,4117.644711
Albania,ALB,Employment in agriculture (% of total employment),..,..,..,..,..,..
Algeria,DZA,Agriculture value added per worker (constant 2010 US$),4298.74642,4777.838202,5112.22106,5529.691913,5676.818113,6129.392125
Algeria,DZA,Employment in agriculture (% of total employment),..,10.80000019,..,..,..,..
American Samoa,ASM,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
American Samoa,ASM,Employment in agriculture (% of total employment),3,..,..,..,..,..
Andorra,ADO,Agriculture value added per worker (constant 2010 US$),7761.127334,..,..,..,..,..
Andorra,ADO,Employment in agriculture (% of total employment),..,..,..,..,..,..
Angola,AGO,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Angola,AGO,Employment in agriculture (% of total employment),..,..,..,..,..,..
Antigua and Barbuda,ATG,Agriculture value added per worker (constant 2010 US$),2344.736111,2662.556294,2727.407558,2878.738437,2890.811121,2943.516499
Antigua and Barbuda,ATG,Employment in agriculture (% of total employment),..,..,..,..,..,..
Arab World,ARB,Agriculture value added per worker (constant 2010 US$),4320.57808,4578.693846,4617.626068,4893.491559,4952.1955,5051.704018
Arab World,ARB,Employment in agriculture (% of total employment),..,24.16256386,..,..,..,..
Argentina,ARG,Agriculture value added per worker (constant 2010 US$),23272.91924,22609.97886,20851.08081,23165.37646,24581.49059,..
Argentina,ARG,Employment in agriculture (% of total employment),3,3.099999905,0.600000024,0.600000024,0.5,..
Armenia,ARM,Agriculture value added per worker (constant 2010 US$),10636.28108,12376.22996,13741.50988,15102.70458,16637.22756,19091.28117
Armenia,ARM,Employment in agriculture (% of total employment),38.59999847,38.90000153,37.29999924,36.29999924,..,..
Aruba,ABW,Agriculture value added per worker (constant 2010 US$),1232.153942,..,..,..,..,..
Aruba,ABW,Employment in agriculture (% of total employment),0.600000024,0.600000024,..,..,..,..
Australia,AUS,Agriculture value added per worker (constant 2010 US$),55252.94214,57115.20949,57922.6987,57601.98222,58153.86436,59179.08816
Australia,AUS,Employment in agriculture (% of total employment),3.200000048,2.900000095,2.900000095,2.599999905,..,..
Austria,AUT,Agriculture value added per worker (constant 2010 US$),34601.3613,41187.76502,39199.16971,40017.07368,43340.97884,42145.13413
Austria,AUT,Employment in agriculture (% of total employment),4.699999809,4.400000095,4.199999809,4,4.300000191,..
Azerbaijan,AZE,Agriculture value added per worker (constant 2010 US$),2703.433516,2849.726594,3032.239603,3186.661206,3112.382014,3339.323411
Azerbaijan,AZE,Employment in agriculture (% of total employment),38.20000076,37.90000153,37.70000076,37.09999847,36.79999924,..
"Bahamas, The",BHS,Agriculture value added per worker (constant 2010 US$),34003.4,39130.25904,40883.49449,31114.41881,30940.61063,..
"Bahamas, The",BHS,Employment in agriculture (% of total employment),..,3.700000048,..,..,..,..
