Admin Region Name,Admin Region Code,Series Name,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Albania,ALB,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Albania, Central",ALB_Central_AGG008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Albania, Coastal",ALB_Coastal_AGG008.5,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Albania, Mountain",ALB_Mountain_AGG008.51,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Albania, Northern",ALB_Northern_AGG010,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Albania, Southern",ALB_Southern_AGG008.55,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Albania, Tirane",ALB_Tirane_AL.TI_338_ALB034,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Algeria,DZA,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Algeria, Alger",DZA_Alger_DZ.AL_344_DZA004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Algeria, Bechar",DZA_Bechar_DZ.BC_347_DZA007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Algeria, Central",DZA_Central_AGG610,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,1.7,..,..
"Algeria, Constantine",DZA_Constantine_DZ.CO_355_DZA015,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Algeria, Eastern",DZA_Eastern_AGG611,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,1.1,..,..
"Algeria, North Central",DZA_North_Central_AGG612,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.8,..,..
"Algeria, North Eastern",DZA_North_Eastern_AGG613,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,2.1,..,..
"Algeria, North Western",DZA_North_Western_AGG614,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,1.4,..,..
"Algeria, Oran",DZA_Oran_DZ.OR_372_DZA032,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Algeria, Ouargla",DZA_Ouargla_DZ.OG_373_DZA033,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Algeria, Southern",DZA_Southern_AGG616,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,2.5,..,..
"Algeria, Western",DZA_Western_AGG618,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,1.7,..,..
Angola,AGO,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Bengo",AGO_Bengo_AO.BO_398_AGO001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Benguela",AGO_Benguela_AO.BG_399_AGO002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Bie",AGO_Bie_AO.BI_400_AGO003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Cabinda",AGO_Cabinda_AO.CB_401_AGO004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Capital",AGO_Capital_AGG644,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Centro Sul",AGO_Centro_Sul_AGG641,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Cuando Cubango",AGO_Cuando_Cubango_AO.CC_402_AGO005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Cuanza Sul",AGO_Cuanza_Sul_AO.CS_403_AGO007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
